id,country_name,league_name,season,stage,date,home_team_id,home_team_long_name,home_team_short_name,away_team_id,away_team_long_name,away_team_short_name,home_team_goal,away_team_goal,home_player_1_id,home_player_1_name,home_player_1_birthday,home_player_1_height,home_player_1_weight,home_player_2_id,home_player_2_name,home_player_2_birthday,home_player_2_height,home_player_2_weight,home_player_3_id,home_player_3_name,home_player_3_birthday,home_player_3_height,home_player_3_weight,home_player_4_id,home_player_4_name,home_player_4_birthday,home_player_4_height,home_player_4_weight,home_player_5_id,home_player_5_name,home_player_5_birthday,home_player_5_height,home_player_5_weight,home_player_6_id,home_player_6_name,home_player_6_birthday,home_player_6_height,home_player_6_weight,home_player_7_id,home_player_7_name,home_player_7_birthday,home_player_7_height,home_player_7_weight,home_player_8_id,home_player_8_name,home_player_8_birthday,home_player_8_height,home_player_8_weight,home_player_9_id,home_player_9_name,home_player_9_birthday,home_player_9_height,home_player_9_weight,home_player_10_id,home_player_10_name,home_player_10_birthday,home_player_10_height,home_player_10_weight,home_player_11_id,home_player_11_name,home_player_11_birthday,home_player_11_height,home_player_11_weight,away_player_1_id,away_player_1_name,away_player_1_birthday,away_player_1_height,away_player_1_weight,away_player_2_id,away_player_2_name,away_player_2_birthday,away_player_2_height,away_player_2_weight,away_player_3_id,away_player_3_name,away_player_3_birthday,away_player_3_height,away_player_3_weight,away_player_4_id,away_player_4_name,away_player_4_birthday,away_player_4_height,away_player_4_weight,away_player_5_id,away_player_5_name,away_player_5_birthday,away_player_5_height,away_player_5_weight,away_player_6_id,away_player_6_name,away_player_6_birthday,away_player_6_height,away_player_6_weight,away_player_7_id,away_player_7_name,away_player_7_birthday,away_player_7_height,away_player_7_weight,away_player_8_id,away_player_8_name,away_player_8_birthday,away_player_8_height,away_player_8_weight,away_player_9_id,away_player_9_name,away_player_9_birthday,away_player_9_height,away_player_9_weight,away_player_10_id,away_player_10_name,away_player_10_birthday,away_player_10_height,away_player_10_weight,away_player_11_id,away_player_11_name,away_player_11_birthday,away_player_11_height,away_player_11_weight
1,Belgium,Belgium Jupiler League,2008/2009,1,2008-08-17 00:00:00,9987,KRC Genk,GEN,9993,Beerschot AC,BAC,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Belgium,Belgium Jupiler League,2008/2009,1,2008-08-16 00:00:00,10000,SV Zulte-Waregem,ZUL,9994,Sporting Lokeren,LOK,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Belgium,Belgium Jupiler League,2008/2009,1,2008-08-16 00:00:00,9984,KSV Cercle Brugge,CEB,8635,RSC Anderlecht,AND,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Belgium,Belgium Jupiler League,2008/2009,1,2008-08-17 00:00:00,9991,KAA Gent,GEN,9998,RAEC Mons,MON,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Belgium,Belgium Jupiler League,2008/2009,1,2008-08-16 00:00:00,7947,FCV Dender EH,DEN,9985,Standard de Liège,STL,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Belgium,Belgium Jupiler League,2008/2009,1,2008-09-24 00:00:00,8203,KV Mechelen,MEC,8342,Club Brugge KV,CLB,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Belgium,Belgium Jupiler League,2008/2009,1,2008-08-16 00:00:00,9999,KSV Roeselare,ROS,8571,KV Kortrijk,KOR,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Belgium,Belgium Jupiler League,2008/2009,1,2008-08-16 00:00:00,4049,Tubize,TUB,9996,Royal Excel Mouscron,MOU,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Belgium,Belgium Jupiler League,2008/2009,1,2008-08-16 00:00:00,10001,KVC Westerlo,WES,9986,Sporting Charleroi,CHA,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Belgium,Belgium Jupiler League,2008/2009,10,2008-11-01 00:00:00,8342,Club Brugge KV,CLB,8571,KV Kortrijk,KOR,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Belgium,Belgium Jupiler League,2008/2009,10,2008-10-31 00:00:00,9985,Standard de Liège,STL,9986,Sporting Charleroi,CHA,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Belgium,Belgium Jupiler League,2008/2009,10,2008-11-02 00:00:00,10000,SV Zulte-Waregem,ZUL,9991,KAA Gent,GEN,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Belgium,Belgium Jupiler League,2008/2009,10,2008-11-01 00:00:00,9994,Sporting Lokeren,LOK,9998,RAEC Mons,MON,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
